minimum_nights,availability_365,room_type_n,neighbourhood_n,longitude,price
-0.40336986571795924,-0.6359318842226934,0.8000799118903087,-0.8331045608708041,-0.4090201811291749,185
-0.40336986571795924,1.7586375132741512,-1.0476930679013772,0.03200828370292089,0.8836213200655556,75
-0.18834053138559897,-0.8563843049446251,0.8000799118903087,-0.6312448971369349,-0.6525142396750194,250
-0.11666408660814555,0.17746153016512356,0.8000799118903087,0.37805342153241084,-1.1748133278901647,128
-0.26001697616305236,-0.8563843049446251,0.8000799118903087,-0.5158965178604382,0.21401265906471414,100
-0.26001697616305236,-0.8563843049446251,0.8000799118903087,-0.2275255696691966,-0.1029195541492248,128
-0.11666408660814555,-0.7499589983892099,0.8000799118903087,-0.16985138003094827,-0.16379306878591682,140
-0.3316934209405058,1.0820766358861538,-1.0476930679013772,-0.19868847485007243,-0.7419831419699592,125
-0.3316934209405058,-0.8563843049446251,0.8000799118903087,-0.05450300075445161,0.08360036080426218,275
-0.40336986571795924,-0.8563843049446251,0.8000799118903087,0.003171188883796724,0.3697708691130325,74
-0.26001697616305236,1.7054248599964434,0.8000799118903087,3.2905999982639513,1.2787575858909381,168
-0.3316934209405058,0.7932079466643122,0.8000799118903087,-0.6600819919560591,-0.7861760138055449,2200
-0.3316934209405058,-0.8563843049446251,-1.0476930679013772,-0.6889190867751832,0.2774857543972187,60
-0.3316934209405058,-0.8563843049446251,0.8000799118903087,-0.7177561815943074,-0.6488315003554386,325
-0.3316934209405058,-0.09620354383451582,0.8000799118903087,0.3203792318941625,-2.849376559704614,109
-0.26001697616305236,-0.8563843049446251,0.8000799118903087,0.37805342153241084,-1.1509838381749582,130
-0.3316934209405058,-0.841180689722423,-1.0476930679013772,-0.2851997593074449,-0.025365396712042198,110
-0.04498764183069213,1.4697688240523095,0.8000799118903087,0.752935654181025,0.6156478766305515,98
-0.3316934209405058,-0.8563843049446251,0.8000799118903087,-0.48705942304131405,-0.4705435909395122,120
-0.26001697616305236,1.5989995534410282,0.8000799118903087,-0.6889190867751832,0.39793299332208076,170
-0.26001697616305236,1.3101308642191867,-1.0476930679013772,-0.6889190867751832,0.5363606653956475,55
-0.40336986571795924,-0.8563843049446251,-1.0476930679013772,-0.25636266448832074,0.7417275403971617,38
-0.18834053138559897,-0.5903210385560869,-1.0476930679013772,-0.5158965178604382,0.22029497908041537,299
0.9584825850536557,-0.8563843049446251,-1.0476930679013772,1.992930731403364,1.4104696744992964,44
-0.40336986571795924,1.918275473107274,-1.0476930679013772,-0.4582223282221899,-0.9566651811324944,199
-0.11666408660814555,-0.6283300766115923,0.8000799118903087,0.003171188883796724,0.28398470613798144,200
-0.3316934209405058,-0.7803662288336142,0.8000799118903087,-0.4582223282221899,-0.956881812857248,850
-0.3316934209405058,-0.6435336918337945,0.8000799118903087,-0.5447336126795624,-1.0580488282851912,300
-0.40336986571795924,0.5043392574424705,0.8000799118903087,0.08968247334116922,-1.048300400674355,68
-0.40336986571795924,0.32949768238714544,2.647852891681995,-0.5158965178604382,-0.31825148848602103,125
-0.40336986571795924,-0.8563843049446251,-1.0476930679013772,0.11851956816029338,-0.7720949517008668,80
-0.40336986571795924,0.2382759910539323,-1.0476930679013772,-0.7754303712325558,-0.37435910517967175,90
-0.26001697616305236,-0.8563843049446251,-1.0476930679013772,-0.6889190867751832,0.4226290099363018,50
-0.40336986571795924,-0.8563843049446251,-1.0476930679013772,-0.25636266448832074,0.6784710767891029,75
-0.40336986571795924,-0.8563843049446251,0.8000799118903087,0.6375872749045284,-0.9763786680789205,1000
